arvores,random forest,Knn,logistic regression,svm,redes neurais
0.9864999999999998,0.9835,0.9815,0.9475,0.9845,0.997
0.985,0.9835,0.98,0.9465,0.984,0.998
0.9905000000000002,0.983,0.9794999999999998,0.9470000000000001,0.9864999999999998,0.9975
0.987,0.979,0.978,0.946,0.985,0.9965
0.989,0.985,0.982,0.9465,0.985,0.9965
0.9885,0.988,0.978,0.9465,0.9845,0.997
0.988,0.9854999999999998,0.9805,0.9469999999999998,0.986,0.9965
0.9875,0.9855,0.98,0.9480000000000001,0.9849999999999998,0.9975
0.987,0.9815000000000002,0.9795,0.9465,0.984,0.996
0.9875,0.985,0.982,0.9465,0.9845,0.997
0.986,0.985,0.9794999999999998,0.9475,0.984,0.9965
0.9895,0.9885,0.9825000000000002,0.9479999999999998,0.9845,0.997
0.9885,0.9864999999999998,0.9825000000000002,0.9475,0.9855,0.9965
0.987,0.982,0.978,0.9475,0.9855,0.9975
0.984,0.979,0.981,0.9484999999999999,0.983,0.9965
0.986,0.9854999999999998,0.979,0.9475,0.9865,0.998
0.9855,0.9815,0.981,0.946,0.986,0.997
0.9905,0.985,0.98,0.9470000000000001,0.9865,0.997
0.9875,0.983,0.9805,0.9465,0.985,0.9975
0.987,0.984,0.9795,0.9464999999999998,0.9845,0.997
0.982,0.9815000000000002,0.982,0.9465,0.984,0.9965
0.987,0.9825,0.9825,0.9469999999999998,0.985,0.9975
0.9885,0.9854999999999998,0.978,0.9455,0.9865,0.9975
0.987,0.9865,0.981,0.9465,0.9875,0.9975
0.988,0.982,0.9795,0.9470000000000001,0.987,0.9975
0.988,0.9815,0.979,0.9469999999999998,0.982,0.9975
0.9875,0.9865,0.977,0.9475,0.984,0.997
0.9855,0.982,0.9785,0.9465,0.9865,0.9965
0.986,0.9845,0.979,0.9480000000000001,0.9835,0.9975
0.9885,0.984,0.9805,0.9465,0.9865,0.9965
